Affectation,Empreinte au sol [m2],Cabinet,geometry,egid,street,npa,city,canton,building_status,building_cath,building_class,building_year,building_month,building_area,floor_nb,room_nb,pc_sheltter,sre,heat_1,heat_source_1,heat_info_1,heat_date_1,heat_2,heat_source_2,heat_info_2,heat_date_2,heatwater_1,heatwater_source_1,heatwater_info_1,heatwater_date_1,heatwater_2,heatwater_source_2,heatwater_info_2,heatwater_date_2,edid,entrance_nb,esid,entrance_east,entrance_north,ewid,housing_area,housing_room_nb,housing_status,housing_year,kitchen
habitation et rural,569,CDBT016055,POINT (2560749.6 1179718.7),825586,Route de Payerne 30,1552,Trey,VD,built,mostly_residential,one_housing,1791.0,,569,2.0,,,,stove,Firewood,860.0,29.11.2001,,,,-,,Firewood,860,29.11.2001,,unheated,860.0,29.11.2001,0,30,10146224,2560749.572,1179718.712,['1'],[270],[7],[3004],[1999],[1]
habitation,81,CDBT012139,POINT (2560730.2 1180098.9),825610,Impasse de la Forge 11,1552,Trey,VD,built,full_residential,one_housing,1991.0,,81,3.0,,,,boiler_1,gaz,869.0,07.04.2017,,,,-,,mazout,860,29.11.2001,,unheated,860.0,29.11.2001,0,11,10153657,2560730.198,1180098.86,['1'],[140],[5],[3004],[1999],[1]
habitation et rural,147,CDBT004774,POINT (2560814.2 1179768.4),825588,Route de Payerne 21,1552,Trey,VD,built,full_residential,one_housing,,,147,2.0,,,136.0,PAC_1,unknown,869.0,19.01.2021,,,,-,,unknown,869,19.01.2021,,,,-,0,21,10146224,2560814.213,1179768.411,['1'],[140],[6],[3004],[1999],[1]
habitation à affectation mixte,460,CDBT901452,POINT (2560802.3 1179957),825642,Route de Payerne 12b,1552,Trey,VD,built,mostly_residential,multi_housing,,,460,2.0,,,,boiler_1,gaz,869.0,08.05.2014,,,,-,,gaz,869,08.05.2014,,,,-,2,12b,10146224,2560802.325,1179957.035,['3' '4'],[190 190],[5 5],[3004 3004],[1999 1999],[1 1]
bâtiment agricole,252,STMT003438,POINT (2560881 1179966),280006187,Impasse du Coutset 1.1,1552,Trey,VD,built,no_residential,farm,,,252,,,0.0,,,,,-,,,,-,,unheated,869,30.11.2020,,unheated,869.0,30.11.2020,1,1.1,10118880,2560881.0,1179966.0,,,,,,
habitation et rural,334,STMT003438,POINT (2560896.5 1179907.6),825600,Route du Coin 1,1552,Trey,VD,built,full_residential,one_housing,,,334,2.0,,,,stove,mazout,860.0,29.11.2001,,,,-,,electricity,860,29.11.2001,,unheated,860.0,29.11.2001,0,1,10141606,2560896.507,1179907.639,['1'],[84],[4],[3004],[1999],[1]
bâtiment agricole,1032,N1,POINT (2560582 1179898),280088599,Trey 1.2,1552,Trey,VD,built,no_residential,farm,2008.0,,1032,,,,,,,,-,,,,-,,unheated,869,16.10.2014,,unheated,869.0,16.10.2014,0,1.2,10041723,2560582.0,1179898.0,,,,,,
habitation,347,CDBT901604,POINT (2560753.9 1179632.4),825584,Chemin de Malafin 2,1552,Trey,VD,built,partially_residential,farm,,,347,2.0,1.0,,,,mazout,,-,,,,-,,mazout,860,29.11.2001,,unheated,860.0,29.11.2001,0,2,10041722,2560753.922,1179632.357,['1'],[90],[3],[3004],[1999],[1]
habitation,84,CDBT012139,POINT (2560727.9 1180091.7),825612,Impasse de la Forge 13,1552,Trey,VD,built,full_residential,one_housing,1991.0,,84,2.0,,,,PAC_1,unknown,860.0,29.11.2001,,,,-,,mazout,860,29.11.2001,,unheated,860.0,29.11.2001,0,13,10153657,2560727.85,1180091.672,['1'],[120],[5],[3004],[1999],[1]
habitation,303,CDBT004760,POINT (2560773.9 1180111.1),825614,Impasse de la Forge 4,1552,Trey,VD,built,full_residential,multi_housing,,,303,2.0,,,,boiler_1,mazout,860.0,29.11.2001,,,,-,,Firewood,860,29.11.2001,,,,-,1,4,10153657,2560773.9,1180111.116,['2'],[100],[4],[3004],[1999],[1]
habitation et garage,167,CDBT901452,POINT (2560825.3 1179857),825592,Route de Payerne 15,1552,Trey,VD,built,full_residential,one_housing,1782.0,,167,3.0,,,,boiler_1,mazout,860.0,29.11.2001,,,,-,,mazout,860,29.11.2001,,unheated,860.0,29.11.2001,0,15,10146224,2560825.269,1179857.0,['1'],[250],[8],[3004],[1999],[1]
habitation,134,CDBT901452,POINT (2560804.8 1179912),3175194,Route de Payerne 16,1552,Trey,VD,built,full_residential,one_housing,,,134,2.0,,,,boiler_n,mazout,860.0,29.11.2001,,,,-,,electricity,860,29.11.2001,,unheated,860.0,29.11.2001,0,16,10146224,2560804.817,1179911.965,['1'],[160],[7],[3004],[1999],[1]
habitation et rural,674,CDBT901452,POINT (2560854.7 1179879.4),825594,Route de Payerne 13,1552,Trey,VD,built,mostly_residential,multi_housing,,,674,3.0,,,,boiler_1,mazout,860.0,29.11.2001,,,,-,,mazout,860,29.11.2001,,unheated,860.0,29.11.2001,0,13,10146224,2560854.662,1179879.446,['1' '2'],[140  50],[6 2],[3004 3004],[1999 1999],[1 1]
habitation,310,CDBT004764,POINT (2560838.8 1180044.6),3175197,Route de Payerne 4,1552,Trey,VD,built,full_residential,multi_housing,1618.0,,310,2.0,,,,boiler_1,mazout,864.0,31.10.2017,,,,-,,mazout,864,31.10.2017,,unheated,860.0,29.11.2001,0,4,10146224,2560838.753,1180044.562,['1' '2' '3' '4' '5' '6'],[124 100 127 103 187 145],[3 3 3 3 4 4],[3004 3004 3004 3004 3004 3004],[1999 1999 1999 1999 1999 1999],[1 1 1 1 1 1]
bâtiment ecclésiastique,128,CDBT004764,POINT (2560838 1180024),280010796,Place du Collège 1.2,1552,Trey,VD,built,no_residential,church,1800.0,,128,,,0.0,,,,,-,,,,-,,unheated,869,30.11.2020,,unheated,869.0,30.11.2020,1,1.2,10141605,2560838.0,1180024.0,,,,,,
habitation,79,CDBT004764,POINT (2560875.8 1179986),825603,Route de Payerne 7,1552,Trey,VD,built,full_residential,one_housing,,,79,2.0,,,,boiler_1,Firewood,860.0,29.11.2001,,,,-,,Firewood,869,18.07.2013,,unheated,860.0,29.11.2001,0,7,10146224,2560875.838,1179985.975,['1'],[100],[3],[3004],[1999],[1]
bâtiment agricole,657,CDBT003746,POINT (2560899 1180096),9031633,La Perrause 1.4,1552,Trey,VD,built,no_residential,farm,2002.0,,657,,,,,,,,-,,,,-,,unheated,869,29.11.2001,,unheated,869.0,29.11.2001,0,1.4,10068564,2560899.0,1180096.0,,,,,,
habitation,91,CDBT900784,POINT (2560682.9 1180142.6),3175190,Impasse de la Forge 17,1552,Trey,VD,built,full_residential,one_housing,1987.0,,91,2.0,,,,PAC_1,unknown,860.0,29.11.2001,,,,-,,electricity,860,29.11.2001,,unheated,860.0,29.11.2001,0,17,10153657,2560682.863,1180142.621,['1'],[140],[5],[3004],[1999],[1]
habitation,83,CDBT012139,POINT (2560735.1 1180113.5),3175191,Impasse de la Forge 7,1552,Trey,VD,built,full_residential,one_housing,1991.0,,83,2.0,,,,boiler_1,mazout,855.0,08.08.2016,no_heater,unheated,855.0,08.08.2016,,mazout,855,08.08.2016,,unheated,855.0,08.08.2016,0,7,10153657,2560735.136,1180113.528,['1'],[168],[5],[3004],[1999],[1]
habitation et rural,343,CDBT016055,POINT (2560764.1 1179788),825589,Route de Payerne 24,1552,Trey,VD,built,mostly_residential,one_housing,1806.0,,343,2.0,,,,boiler_1,mazout,860.0,29.11.2001,no_heater,unheated,860.0,29.11.2001,,mazout,860,29.11.2001,,unheated,860.0,29.11.2001,0,24,10146224,2560764.134,1179788.01,['1'],[90],[4],[3004],[1999],[1]
"dépendance, bâtiment",90,CDBT004764,POINT (2560861 1179995),280014120,Route de Payerne 3.1,1552,Trey,VD,built,no_residential,industial,,,90,,,0.0,,,,,-,,,,-,,unheated,869,30.11.2020,,unheated,869.0,30.11.2020,1,3.1,10146224,2560861.0,1179995.0,,,,,,
habitation,82,CDBT012139,POINT (2560732.5 1180106.1),3175192,Impasse de la Forge 9,1552,Trey,VD,built,full_residential,one_housing,1991.0,,82,2.0,,,154.0,standard_boiler_1,mazout,864.0,24.09.2020,no_heater,unheated,864.0,24.09.2020,,mazout,864,24.09.2020,,unheated,864.0,24.09.2020,0,9,10153657,2560732.549,1180106.11,['1'],[120],[3],[3004],[1999],[1]
bâtiment agricole,1177,60437,POINT (2560799 1179684),280063253,Chemin de Malafin 1.2,1552,Trey,VD,built,no_residential,farm,1995.0,,1177,,,0.0,,,,,-,,,,-,,unheated,869,30.11.2020,,unheated,869.0,30.11.2020,1,1.2,10041722,2560799.0,1179684.0,,,,,,
habitation,160,CDBT004774,POINT (2560787.7 1179720.7),3175196,Route de Payerne 23,1552,Trey,VD,built,full_residential,one_housing,1997.0,,160,3.0,,,,PAC_1,unknown,860.0,29.11.2001,,,,-,,electricity,860,29.11.2001,,,,-,0,23,10146224,2560787.708,1179720.653,['1'],[308],[6],[3004],[1999],[1]
habitation,77,CDBT004774,POINT (2560785.6 1179801.3),825590,Route de Payerne 20,1552,Trey,VD,built,full_residential,one_housing,1740.0,,77,3.0,,,,boiler_1,mazout,855.0,26.04.2021,no_heater,unheated,855.0,26.04.2021,,mazout,855,26.04.2021,,unheated,855.0,26.04.2021,0,20,10146224,2560785.589,1179801.269,['1'],[180],[4],[3004],[1999],[1]
habitation et rural,305,CDBT901452,POINT (2560854.4 1179905.6),825595,Route de Payerne 11,1552,Trey,VD,built,mostly_residential,one_housing,1796.0,,305,2.0,,,,stove,Firewood,860.0,29.11.2001,no_heater,unheated,860.0,29.11.2001,,electricity,860,29.11.2001,,unheated,860.0,29.11.2001,0,11,10146224,2560854.387,1179905.607,['1'],[150],[6],[3004],[1999],[1]
bâtiment industriel,37,CDBT004764,POINT (2560830 1180032),280025942,Place du Collège 1.1,1552,Trey,VD,built,no_residential,industial,1968.0,,37,,,0.0,,,,,-,,,,-,,unheated,869,30.11.2020,,unheated,869.0,30.11.2020,1,1.1,10141605,2560830.0,1180032.0,,,,,,
habitation,122,CDBT003746,POINT (2560978.6 1180136.8),825606,La Perrause 1,1552,Trey,VD,built,full_residential,one_housing,1989.0,,122,2.0,,,,boiler_1,mazout,855.0,16.04.2018,no_heater,unheated,855.0,16.04.2018,,mazout,855,16.04.2018,,unheated,855.0,16.04.2018,0,1,10068564,2560978.63,1180136.762,['1'],[244],[6],[3004],[1999],[1]
habitation,223,CDBT004760,POINT (2560781.8 1180066.4),825608,Impasse de la Forge 1,1552,Trey,VD,built,full_residential,one_housing,,,223,2.0,,,,boiler_1,mazout,860.0,29.11.2001,,,,-,,mazout,860,29.11.2001,,unheated,860.0,29.11.2001,0,1,10153657,2560781.804,1180066.38,['1'],[99],[6],[3004],[1999],[1]
habitation,131,CDBT004774,POINT (2560818.8 1179821.3),825591,Route de Payerne 19,1552,Trey,VD,built,full_residential,one_housing,,,131,1.0,,,,PAC_1,unknown,869.0,12.06.2020,,,,-,,thermal_solar,869,12.06.2020,,,,-,0,19,10146224,2560818.797,1179821.262,['1'],[84],[5],[3004],[1999],[1]
